light_cones,rarity,path,atk_1,def_1,hp_1,atk_20,def_20,hp_20,atk_20a,def_20a,hp_20a,atk_40,def_40,hp_40,atk_40a,def_40a,hp_40a,atk_50,def_50,hp_50,atk_50a,def_50a,hp_50a,atk_60,def_60,hp_60,atk_60a,def_60a,hp_60a,atk_70,def_70,hp_70,atk_70a,def_70a,hp_70a,atk_80,def_80,hp_80
A Secret Vow,4,Destruction,21.6,12,48,83.16,46.2,185,109.08,60.6,242,208.44,115.8,463,243,135,540,275.4,153,612,309.96,172.2,689,342.36,190.2,761,376.92,209.4,838,409.32,227.4,910,443.88,246.6,986,476.28,264.6,1058
Adversarial,3,The Hunt,16.8,12,34,64.68,46.2,129,84.84,60.6,170,162.12,115.8,324,189,135,378,214.2,153,428,241.08,172.2,482,266.28,190.2,533,293.16,209.4,586,318.36,227.4,637,345.24,246.6,690,370.44,264.6,741
Amber,3,Preservation,12,15,38,46.2,57.75,148,60.6,75.75,194,115.8,144.75,371,135,168.75,432,153,191.25,490,172.2,215.25,551,190.2,237.75,609,209.4,261.75,670,227.4,284.25,728,246.6,308.25,789,264.6,330.75,847
Arrows,3,The Hunt,14.4,12,38,55.44,46.2,148,72.72,60.6,194,138.96,115.8,371,162,135,432,183.6,153,490,206.64,172.2,551,228.24,190.2,609,251.28,209.4,670,272.88,227.4,728,295.92,246.6,789,317.52,264.6,847
Before Dawn,5,Erudition,26.4,21,48,101.64,80.85,185,133.32,106.05,242,254.76,202.65,463,297,236.25,540,336.6,267.75,612,378.84,301.35,689,418.44,332.85,761,460.68,366.45,838,500.28,397.95,910,542.52,431.55,986,582.12,463.05,1058
Before the Tutorial Mission Starts,4,Nihility,21.6,15,43,83.16,57.75,166,109.08,75.75,218,208.44,144.75,417,243,168.75,486,275.4,191.25,551,309.96,215.25,620,342.36,237.75,685,376.92,261.75,754,409.32,284.25,819,443.88,308.25,888,476.28,330.75,953
But the Battle Isn't Over,5,Harmony,24,21,53,92.4,80.85,203,121.2,106.05,267,231.6,202.65,510,270,236.25,594,306,267.75,673,344.4,301.35,758,380.4,332.85,837,418.8,366.45,921,454.8,397.95,1001,493.2,431.55,1085,529.2,463.05,1164
"Carve the Moon, Weave the Clouds",4,Harmony,21.6,15,43,83.16,57.75,166,109.08,75.75,218,208.44,144.75,417,243,168.75,486,275.4,191.25,551,309.96,215.25,620,342.36,237.75,685,376.92,261.75,754,409.32,284.25,819,443.88,308.25,888,476.28,330.75,953
Chorus,3,Harmony,14.4,12,38,55.44,46.2,148,72.72,60.6,194,138.96,115.8,371,162,135,432,183.6,153,490,206.64,172.2,551,228.24,190.2,609,251.28,209.4,670,272.88,227.4,728,295.92,246.6,789,317.52,264.6,847
Collapsing Sky,3,Destruction,16.8,9,38,64.68,34.65,148,84.84,45.45,194,162.12,86.85,371,189,101.25,432,214.2,114.75,490,241.08,129.15,551,266.28,142.65,609,293.16,157.05,670,318.36,170.55,728,345.24,184.95,789,370.44,198.45,847
Cornucopia,3,Abundance,12,12,43,46.2,46.2,166,60.6,60.6,218,115.8,115.8,417,135,135,486,153,153,551,172.2,172.2,620,190.2,190.2,685,209.4,209.4,754,227.4,227.4,819,246.6,246.6,888,264.6,264.6,953
Cruising in the Stellar Sea,5,The Hunt,24,21,43,92.4,80.85,166,121.2,106.05,218,231.6,202.65,417,270,236.25,486,306,267.75,551,344.4,301.35,620,380.4,332.85,685,418.8,366.45,754,454.8,397.95,819,493.2,431.55,888,529.2,463.05,953
Dance! Dance! Dance!,4,Harmony,19.2,18,43,73.92,69.3,166,96.96,90.9,218,185.28,173.7,417,216,202.5,486,244.8,229.5,551,275.52,258.3,620,304.32,285.3,685,335.04,314.1,754,363.84,341.1,819,394.56,369.9,888,423.36,396.9,953
Darting Arrow,3,The Hunt,16.8,12,34,64.68,46.2,129,84.84,60.6,170,162.12,115.8,324,189,135,378,214.2,153,428,241.08,172.2,482,266.28,190.2,533,293.16,209.4,586,318.36,227.4,637,345.24,246.6,690,370.44,264.6,741
Day One of My New Life,4,Preservation,16.8,21,43,64.68,80.85,166,84.84,106.05,218,162.12,202.65,417,189,236.25,486,214.2,267.75,551,241.08,301.35,620,266.28,332.85,685,293.16,366.45,754,318.36,397.95,819,345.24,431.55,888,370.44,463.05,953
Defense,3,Preservation,12,12,43,46.2,46.2,166,60.6,60.6,218,115.8,115.8,417,135,135,486,153,153,551,172.2,172.2,620,190.2,190.2,685,209.4,209.4,754,227.4,227.4,819,246.6,246.6,888,264.6,264.6,953
Echoes of the Coffin,5,Abundance,26.4,18,53,101.64,69.3,203,133.32,90.9,267,254.76,173.7,510,297,202.5,594,336.6,229.5,673,378.84,258.3,758,418.44,285.3,837,460.68,314.1,921,500.28,341.1,1001,542.52,369.9,1085,582.12,396.9,1164
Eyes of the Prey,4,Nihility,21.6,15,43,83.16,57.75,166,109.08,75.75,218,208.44,144.75,417,243,168.75,486,275.4,191.25,551,309.96,215.25,620,342.36,237.75,685,376.92,261.75,754,409.32,284.25,819,443.88,308.25,888,476.28,330.75,953
Fermata,4,Nihility,21.6,15,43,83.16,57.75,166,109.08,75.75,218,208.44,144.75,417,243,168.75,486,275.4,191.25,551,309.96,215.25,620,342.36,237.75,685,376.92,261.75,754,409.32,284.25,819,443.88,308.25,888,476.28,330.75,953
Fine Fruit,3,Abundance,14.4,9,43,55.44,34.65,166,72.72,45.45,218,138.96,86.85,417,162,101.25,486,183.6,114.75,551,206.64,129.15,620,228.24,142.65,685,251.28,157.05,754,272.88,170.55,819,295.92,184.95,888,317.52,198.45,953
Geniuses' Repose,4,Erudition,21.6,18,38,83.16,69.3,148,109.08,90.9,194,208.44,173.7,371,243,202.5,432,275.4,229.5,490,309.96,258.3,551,342.36,285.3,609,376.92,314.1,670,409.32,341.1,728,443.88,369.9,789,476.28,396.9,847
Good Night and Sleep Well,4,Nihility,21.6,15,43,83.16,57.75,166,109.08,75.75,218,208.44,144.75,417,243,168.75,486,275.4,191.25,551,309.96,215.25,620,342.36,237.75,685,376.92,261.75,754,409.32,284.25,819,443.88,308.25,888,476.28,330.75,953
Hidden Shadow,3,Nihility,14.4,12,38,55.44,46.2,148,72.72,60.6,194,138.96,115.8,371,162,135,432,183.6,153,490,206.64,172.2,551,228.24,190.2,609,251.28,209.4,670,272.88,227.4,728,295.92,246.6,789,317.52,264.6,847
In the Name of the World,5,Nihility,26.4,21,48,101.64,80.85,185,133.32,106.05,242,254.76,202.65,463,297,236.25,540,336.6,267.75,612,378.84,301.35,689,418.44,332.85,761,460.68,366.45,838,500.28,397.95,910,542.52,431.55,986,582.12,463.05,1058
In the Night,5,The Hunt,26.4,21,48,101.64,80.85,185,133.32,106.05,242,254.76,202.65,463,297,236.25,540,336.6,267.75,612,378.84,301.35,689,418.44,332.85,761,460.68,366.45,838,500.28,397.95,910,542.52,431.55,986,582.12,463.05,1058
Incessant Rain,5,Nihility,26.4,21,48,101.64,80.85,185,133.32,106.05,242,254.76,202.65,463,297,236.25,540,336.6,267.75,612,378.84,301.35,689,418.44,332.85,761,460.68,366.45,838,500.28,397.95,910,542.52,431.55,986,582.12,463.05,1058
